Flight Details,Flow Card?,Bags Checked,Meal Type
2024-12-28//PA002//New York-London//First Class//295,1,2,None
2024-07-31//PA002//New York-London//First Class//501,1,1,None
2024-07-16//PA006//Tokyo-London//Premium Economy//1397.5,0,3,Dairy Free
2024-08-18//PA005//London-Tokyo//Business Class//338.39999999999998,1,0,None
2024-02-22//PA007//New York-Perth//Economy//2835,1,1,Vegan
2024-11-19//PA006//Tokyo-London//Business Class//330,1,2,Nut Free
2024-03-19//PA008//Perth-New York//First Class//646,0,3,Vegan
2024-01-12//PA007//New York-Perth//Economy//2125,1,0,Vegetarian
2024-12-29//PA004//Perth-London//Business Class//550.79999999999995,1,0,Nut Free
2024-05-11//PA011//Perth-Tokyo//Premium Economy//732.5,0,3,Dairy Free
2024-11-21//PA010//Tokyo-New York//Economy//1015,0,3,Vegetarian
2024-08-26//PA010//Tokyo-New York//Business Class//369.59999999999997,0,2,Nut Free
2024-02-04//PA001//London-New York//Business Class//828,1,0,None
2024-06-07//PA010//Tokyo-New York//Business Class//674.39999999999998,1,3,Vegetarian
2024-07-09//PA002//New York-London//Premium Economy//635,0,0,Dairy Free
2024-05-19//PA002//New York-London//First Class//239,1,0,Vegan
2024-01-11//PA010//Tokyo-New York//First Class//226,0,3,None
2024-01-09//PA012//Tokyo-Perth//Business Class//507.59999999999997,1,0,Dairy Free
2024-03-23//PA002//New York-London//Premium Economy//1625,1,0,Nut Free
2024-11-02//PA011//Perth-Tokyo//Business Class//315.59999999999997,0,2,Vegetarian
2024-01-20//PA002//New York-London//First Class//201,1,1,Nut Free
2024-02-23//PA009//New York-Tokyo//Premium Economy//622.5,1,2,Vegetarian
2024-12-18//PA011//Perth-Tokyo//Premium Economy//1267.5,0,3,Dairy Free
2024-09-25//PA011//Perth-Tokyo//First Class//457,1,3,Nut Free
2024-02-04//PA004//Perth-London//Economy//1900,0,3,None
2024-12-09//PA010//Tokyo-New York//Premium Economy//1142.5,1,2,Vegan
2024-11-15//PA008//Perth-New York//First Class//533,0,3,Dairy Free
2024-01-14//PA004//Perth-London//Economy//1020,1,0,Nut Free
2024-09-08//PA001//London-New York//First Class//427,1,1,Egg Free
2024-07-26//PA008//Perth-New York//Premium Economy//1410,1,0,Vegetarian
2024-04-12//PA012//Tokyo-Perth//Business Class//672,0,1,Dairy Free
2024-02-07//PA009//New York-Tokyo//Premium Economy//1397.5,1,3,Vegan
2024-01-10//PA005//London-Tokyo//Business Class//705.60000000000002,0,3,Egg Free
2024-03-14//PA002//New York-London//Business Class//247.19999999999999,0,2,Dairy Free
2024-08-25//PA004//Perth-London//Economy//1435,0,1,None
2024-05-20//PA003//London-Perth//Economy//3215,0,1,Nut Free
2024-05-08//PA001//London-New York//Economy//3325,0,3,Egg Free
2024-07-15//PA006//Tokyo-London//First Class//531,1,3,Egg Free
2024-01-31//PA010//Tokyo-New York//First Class//387,1,3,None
2024-06-12//PA006//Tokyo-London//Business Class//525.60000000000002,1,3,Nut Free
2024-08-16//PA011//Perth-Tokyo//Business Class//345.59999999999997,0,2,Egg Free
2024-03-07//PA009//New York-Tokyo//Business Class//612,1,3,Nut Free
2024-03-08//PA004//Perth-London//First Class//524,1,3,Egg Free
2024-02-19//PA006//Tokyo-London//Economy//3380,0,2,Vegan
2024-03-26//PA011//Perth-Tokyo//First Class//529,1,0,None
2024-02-07//PA002//New York-London//Business Class//638.39999999999998,1,0,Nut Free
2024-04-26//PA004//Perth-London//Economy//1870,0,0,Dairy Free
2024-08-30//PA009//New York-Tokyo//Premium Economy//1615,0,0,Vegetarian
2024-06-15//PA004//Perth-London//First Class//453,1,3,Nut Free
2024-03-20//PA003//London-Perth//First Class//523,0,3,Vegetarian
2024-11-04//PA012//Tokyo-Perth//Economy//3280,0,1,Nut Free
2024-09-01//PA009//New York-Tokyo//First Class//247,1,3,Egg Free
2024-01-11//PA010//Tokyo-New York//First Class//567,0,3,Vegan
2024-04-03//PA010//Tokyo-New York//Business Class//840,1,1,Vegan
2024-05-16//PA007//New York-Perth//Economy//1780,0,2,Vegan
2024-06-19//PA007//New York-Perth//Economy//2685,0,3,Vegetarian
2024-10-22//PA011//Perth-Tokyo//First Class//395,0,1,None
2024-03-29//PA008//Perth-New York//First Class//639,0,3,Dairy Free
2024-02-12//PA011//Perth-Tokyo//Premium Economy//1615,0,2,Vegetarian
2024-04-29//PA011//Perth-Tokyo//Economy//2330,0,1,None
2024-02-23//PA002//New York-London//Business Class//826.79999999999995,1,1,None
2024-12-17//PA004//Perth-London//Premium Economy//1317.5,0,1,None
2024-09-05//PA004//Perth-London//Premium Economy//1350,0,3,None
2024-10-08//PA005//London-Tokyo//Business Class//772.79999999999995,0,1,Egg Free
2024-01-09//PA006//Tokyo-London//Economy//2845,0,2,Egg Free
2024-01-29//PA002//New York-London//Economy//2280,0,2,Vegetarian
2024-10-04//PA005//London-Tokyo//Premium Economy//1512.5,0,2,Vegetarian
2024-10-03//PA002//New York-London//Premium Economy//785,0,1,Vegan
2024-09-14//PA011//Perth-Tokyo//Premium Economy//1662.5,1,0,Nut Free
2024-04-22//PA008//Perth-New York//First Class//398,0,1,Vegan
2024-09-06//PA001//London-New York//Economy//2830,0,1,Egg Free
2024-05-30//PA009//New York-Tokyo//Premium Economy//1550,0,0,Dairy Free
2024-09-03//PA001//London-New York//Premium Economy//837.5,0,0,Dairy Free
2024-09-20//PA012//Tokyo-Perth//First Class//557,0,2,Egg Free
2024-03-10//PA008//Perth-New York//Business Class//398.39999999999998,1,1,Egg Free
2024-12-24//PA010//Tokyo-New York//Premium Economy//1660,0,3,Dairy Free
2024-06-11//PA005//London-Tokyo//First Class//300,0,1,Dairy Free
2024-03-04//PA010//Tokyo-New York//First Class//636,1,0,Dairy Free
2024-07-30//PA011//Perth-Tokyo//Premium Economy//1305,0,1,Vegetarian
2024-09-22//PA005//London-Tokyo//Premium Economy//627.5,0,3,None
2024-10-14//PA006//Tokyo-London//Premium Economy//505,1,3,Vegetarian
2024-04-03//PA003//London-Perth//Premium Economy//605,0,2,Vegetarian
2024-05-04//PA012//Tokyo-Perth//First Class//440,1,3,Egg Free
2024-07-22//PA005//London-Tokyo//Business Class//246,1,1,Dairy Free
2024-05-27//PA005//London-Tokyo//First Class//608,0,2,Egg Free
2024-07-16//PA011//Perth-Tokyo//Business Class//649.19999999999993,1,1,Nut Free
2024-12-21//PA009//New York-Tokyo//First Class//272,0,2,Egg Free
2024-10-30//PA006//Tokyo-London//Economy//3195,0,3,Egg Free
2024-12-20//PA007//New York-Perth//Premium Economy//1292.5,0,0,None
2024-01-27//PA006//Tokyo-London//First Class//495,0,1,Nut Free
2024-04-04//PA007//New York-Perth//Business Class//253.19999999999999,0,3,Vegetarian
2024-08-21//PA004//Perth-London//Economy//1675,1,0,Vegetarian
2024-01-15//PA003//London-Perth//Premium Economy//1617.5,0,2,None
2024-12-12//PA005//London-Tokyo//Premium Economy//802.5,0,2,Egg Free
2024-03-02//PA009//New York-Tokyo//Economy//1910,0,0,Vegetarian
2024-10-08//PA010//Tokyo-New York//Business Class//405.59999999999997,0,0,Egg Free
2024-08-31//PA011//Perth-Tokyo//Economy//3465,1,3,Dairy Free
2024-01-03//PA010//Tokyo-New York//Premium Economy//1490,1,3,Vegetarian
2024-07-25//PA009//New York-Tokyo//First Class//272,1,3,Dairy Free
2024-09-08//PA007//New York-Perth//Economy//1450,1,1,Dairy Free
2024-04-19//PA006//Tokyo-London//Economy//3455,0,2,None
2024-01-08//PA012//Tokyo-Perth//Business Class//679.19999999999993,1,3,Vegan
2024-06-23//PA010//Tokyo-New York//Economy//3490,1,2,None
2024-08-13//PA004//Perth-London//Business Class//585.60000000000002,1,0,Nut Free
2024-12-27//PA008//Perth-New York//Business Class//428.39999999999998,0,3,Egg Free
2024-01-02//PA012//Tokyo-Perth//First Class//580,1,1,Vegetarian
2024-01-09//PA008//Perth-New York//Premium Economy//527.5,1,1,Vegetarian
2024-01-19//PA010//Tokyo-New York//First Class//252,0,3,Nut Free
2024-02-20//PA007//New York-Perth//Economy//1280,0,2,Egg Free
2024-03-31//PA007//New York-Perth//Economy//1100,0,3,Nut Free
2024-03-28//PA001//London-New York//Economy//1915,1,2,Dairy Free
2024-11-23//PA008//Perth-New York//Premium Economy//1370,0,1,Vegan
2024-05-04//PA012//Tokyo-Perth//First Class//587,0,1,Egg Free
2024-10-13//PA006//Tokyo-London//Business Class//609.60000000000002,1,1,Nut Free
2024-11-05//PA007//New York-Perth//First Class//256,0,3,Nut Free
2024-02-12//PA004//Perth-London//Economy//3175,0,1,Nut Free
2024-11-02//PA007//New York-Perth//Business Class//595.19999999999993,0,2,Vegan
2024-01-07//PA010//Tokyo-New York//First Class//467,1,2,Dairy Free
2024-03-25//PA004//Perth-London//First Class//474,1,0,Vegan
2024-03-26//PA008//Perth-New York//First Class//523,0,1,Egg Free
2024-12-25//PA003//London-Perth//First Class//674,0,1,Nut Free
2024-12-18//PA012//Tokyo-Perth//Business Class//552,0,1,Vegan
2024-09-11//PA003//London-Perth//Business Class//595.19999999999993,1,3,Egg Free
2024-07-10//PA005//London-Tokyo//First Class//479,0,2,Dairy Free
2024-05-26//PA002//New York-London//Premium Economy//575,1,3,None
2024-04-06//PA002//New York-London//Premium Economy//587.5,0,3,Vegetarian
2024-04-19//PA003//London-Perth//Premium Economy//682.5,1,1,None
2024-09-04//PA007//New York-Perth//Economy//3215,0,0,Vegetarian
2024-05-06//PA005//London-Tokyo//Premium Economy//1207.5,1,2,Egg Free
2024-09-12//PA007//New York-Perth//Business Class//832.79999999999995,0,2,None
2024-12-06//PA006//Tokyo-London//First Class//292,1,1,Dairy Free
2024-06-04//PA006//Tokyo-London//First Class//303,0,1,Nut Free
2024-08-06//PA007//New York-Perth//Premium Economy//1072.5,0,2,Nut Free
2024-09-13//PA003//London-Perth//Business Class//700.79999999999995,0,2,Vegetarian
2024-11-24//PA009//New York-Tokyo//First Class//207,0,3,Egg Free
2024-07-08//PA005//London-Tokyo//Premium Economy//887.5,1,3,Nut Free
2024-01-11//PA011//Perth-Tokyo//Premium Economy//1570,0,3,Dairy Free
2024-01-20//PA008//Perth-New York//Business Class//724.79999999999995,1,2,Vegan
2024-12-07//PA001//London-New York//Business Class//608.39999999999998,0,1,Vegetarian
2024-10-18//PA002//New York-London//First Class//594,0,0,Egg Free
2024-05-29//PA006//Tokyo-London//Premium Economy//880,0,0,Vegan
2024-06-17//PA004//Perth-London//First Class//621,0,2,Egg Free
2024-04-12//PA009//New York-Tokyo//Premium Economy//1705,1,0,Egg Free
2024-06-29//PA006//Tokyo-London//First Class//593,1,1,None
2024-08-25//PA010//Tokyo-New York//First Class//250,0,0,Egg Free
2024-02-27//PA007//New York-Perth//Economy//1665,1,0,Vegetarian
2024-03-13//PA012//Tokyo-Perth//Premium Economy//1297.5,1,3,None
2024-12-03//PA011//Perth-Tokyo//Economy//1540,1,1,Vegan
2024-07-13//PA003//London-Perth//Premium Economy//1072.5,0,3,Vegetarian
2024-11-17//PA007//New York-Perth//Economy//2370,0,1,Vegetarian
2024-10-15//PA007//New York-Perth//Economy//2135,1,0,Vegan
2024-04-30//PA009//New York-Tokyo//Premium Economy//660,1,3,Egg Free
2024-05-30//PA001//London-New York//Economy//3425,1,2,Vegan
2024-04-25//PA010//Tokyo-New York//Business Class//758.39999999999998,0,1,Dairy Free
2024-09-30//PA012//Tokyo-Perth//First Class//658,0,0,Vegetarian
2024-08-04//PA011//Perth-Tokyo//Premium Economy//1107.5,1,2,Nut Free
2024-08-01//PA006//Tokyo-London//Business Class//746.39999999999998,0,3,None
2024-12-28//PA004//Perth-London//First Class//323,0,3,Vegetarian
2024-07-20//PA009//New York-Tokyo//First Class//302,0,1,Nut Free
2024-02-27//PA004//Perth-London//Business Class//594,0,3,Vegan
2024-09-10//PA003//London-Perth//First Class//653,1,1,Nut Free
2024-06-16//PA008//Perth-New York//Premium Economy//1525,1,1,Vegetarian
2024-01-26//PA001//London-New York//Economy//1770,1,0,Egg Free
2024-09-12//PA004//Perth-London//First Class//457,1,0,Nut Free
2024-07-24//PA004//Perth-London//Economy//3350,1,0,None
2024-10-17//PA003//London-Perth//First Class//351,1,2,Vegetarian
2024-09-18//PA012//Tokyo-Perth//Business Class//588,1,1,None
2024-11-10//PA008//Perth-New York//Premium Economy//515,1,1,Vegetarian
2024-07-16//PA009//New York-Tokyo//Economy//2795,1,1,Dairy Free
2024-12-21//PA005//London-Tokyo//First Class//233,0,1,Nut Free
2024-04-25//PA009//New York-Tokyo//Business Class//658.79999999999995,1,2,Nut Free
2024-11-04//PA004//Perth-London//Business Class//772.79999999999995,0,1,Nut Free
2024-07-17//PA006//Tokyo-London//Business Class//447.59999999999997,1,2,Egg Free
2024-01-24//PA003//London-Perth//Premium Economy//1552.5,0,2,Dairy Free
2024-06-27//PA002//New York-London//Business Class//508.79999999999995,1,0,Dairy Free
2024-01-05//PA007//New York-Perth//Premium Economy//1220,1,2,Dairy Free
2024-12-11//PA012//Tokyo-Perth//Business Class//531.60000000000002,0,0,Egg Free
2024-05-03//PA006//Tokyo-London//First Class//414,1,1,Vegan
2024-02-03//PA008//Perth-New York//Premium Economy//1697.5,0,1,Vegan
2024-05-09//PA001//London-New York//First Class//355,1,1,Egg Free
2024-01-31//PA011//Perth-Tokyo//Premium Economy//1192.5,0,0,None
2024-11-06//PA007//New York-Perth//Business Class//333.59999999999997,0,3,Egg Free
2024-03-03//PA006//Tokyo-London//Economy//1140,0,1,Vegan
2024-01-11//PA003//London-Perth//Economy//3410,1,0,Egg Free
2024-02-12//PA010//Tokyo-New York//Economy//2345,0,2,Nut Free
2024-04-22//PA011//Perth-Tokyo//Premium Economy//1737.5,1,1,Vegetarian
2024-04-14//PA002//New York-London//Premium Economy//717.5,0,3,None
2024-12-15//PA007//New York-Perth//Premium Economy//882.5,0,2,None
2024-10-10//PA006//Tokyo-London//Economy//1560,0,2,Vegetarian
2024-06-07//PA007//New York-Perth//Business Class//319.19999999999999,1,3,Dairy Free
2024-02-05//PA011//Perth-Tokyo//Economy//3075,0,0,Egg Free
2024-02-28//PA006//Tokyo-London//Business Class//687.60000000000002,1,1,Nut Free
2024-12-05//PA003//London-Perth//First Class//226,0,3,Dairy Free
2024-10-26//PA001//London-New York//Premium Economy//1137.5,0,1,Vegan
2024-08-13//PA007//New York-Perth//First Class//525,1,2,Egg Free
2024-09-16//PA004//Perth-London//Business Class//807.60000000000002,1,3,Dairy Free
2024-02-17//PA001//London-New York//Economy//2230,0,1,Dairy Free
2024-10-08//PA003//London-Perth//Business Class//648,0,3,Egg Free
2024-10-24//PA009//New York-Tokyo//Economy//1375,1,0,None
2024-06-10//PA006//Tokyo-London//Economy//2095,1,2,Egg Free
2024-07-05//PA010//Tokyo-New York//Business Class//639.60000000000002,0,3,Vegetarian
2024-11-22//PA008//Perth-New York//Business Class//577.19999999999993,1,1,Nut Free
2024-05-29//PA010//Tokyo-New York//Premium Economy//1745,0,3,Vegan
2024-02-27//PA005//London-Tokyo//Economy//2900,0,3,Egg Free
2024-05-04//PA004//Perth-London//Premium Economy//1277.5,0,3,Dairy Free
2024-12-21//PA007//New York-Perth//Business Class//446.39999999999998,1,2,Vegetarian
2024-11-08//PA008//Perth-New York//Business Class//348,0,2,Nut Free
2024-06-15//PA003//London-Perth//Premium Economy//935,1,3,Nut Free
2024-10-09//PA011//Perth-Tokyo//First Class//451,1,3,Vegetarian
2024-03-29//PA012//Tokyo-Perth//Economy//3400,0,3,Dairy Free
2024-06-26//PA001//London-New York//Premium Economy//610,0,1,Egg Free
2024-11-22//PA008//Perth-New York//Business Class//787.19999999999993,0,3,Egg Free
2024-04-12//PA002//New York-London//Premium Economy//1585,0,2,None
2024-03-26//PA002//New York-London//Business Class//505.19999999999999,0,1,Egg Free
2024-07-02//PA011//Perth-Tokyo//First Class//507,0,1,Vegan
2024-06-22//PA007//New York-Perth//Business Class//446.39999999999998,0,2,None
2024-06-20//PA008//Perth-New York//Business Class//818.39999999999998,0,3,Vegan
2024-05-21//PA010//Tokyo-New York//Business Class//435.59999999999997,1,0,Egg Free
2024-06-19//PA003//London-Perth//Premium Economy//692.5,1,1,None
2024-08-14//PA009//New York-Tokyo//Premium Economy//1565,1,1,Vegan
2024-09-30//PA004//Perth-London//Economy//2760,1,3,Nut Free
2024-04-16//PA011//Perth-Tokyo//Economy//2995,1,3,Vegan
2024-06-18//PA010//Tokyo-New York//Premium Economy//1630,0,0,Nut Free
2024-09-23//PA006//Tokyo-London//Business Class//451.19999999999999,0,3,Vegan
2024-11-18//PA003//London-Perth//First Class//244,0,1,Nut Free
2024-09-01//PA007//New York-Perth//First Class//206,1,0,Nut Free
2024-01-26//PA010//Tokyo-New York//First Class//261,0,1,None
2024-06-24//PA004//Perth-London//Economy//2305,0,3,None
2024-08-18//PA004//Perth-London//Economy//2195,1,3,Egg Free
2024-11-10//PA011//Perth-Tokyo//Premium Economy//1707.5,1,3,Nut Free
2024-11-24//PA001//London-New York//First Class//534,1,2,Dairy Free
2024-10-26//PA004//Perth-London//First Class//352,0,1,Vegan
2024-11-26//PA006//Tokyo-London//Economy//3340,0,3,Vegan
2024-09-06//PA008//Perth-New York//Economy//2345,0,2,Egg Free
2024-01-23//PA003//London-Perth//Economy//3225,1,0,Nut Free
2024-03-24//PA006//Tokyo-London//Premium Economy//605,0,2,Nut Free
2024-05-02//PA008//Perth-New York//Premium Economy//1210,0,3,Vegetarian
2024-09-14//PA008//Perth-New York//Premium Economy//1605,0,2,Egg Free
2024-09-14//PA009//New York-Tokyo//Premium Economy//1055,0,2,Nut Free
2024-02-16//PA002//New York-London//Economy//2075,1,3,Nut Free
2024-12-03//PA010//Tokyo-New York//First Class//428,0,2,Vegan
2024-07-04//PA001//London-New York//Economy//2700,0,3,Nut Free
2024-05-31//PA002//New York-London//Economy//2745,0,0,Nut Free
2024-05-01//PA006//Tokyo-London//Business Class//510,1,3,Nut Free
2024-12-15//PA011//Perth-Tokyo//Premium Economy//1600,0,0,Nut Free
2024-04-03//PA007//New York-Perth//Business Class//829.19999999999993,1,0,Egg Free
2024-01-10//PA001//London-New York//Premium Economy//1017.5,0,1,None
2024-02-02//PA006//Tokyo-London//Premium Economy//740,0,1,Vegan
2024-04-21//PA003//London-Perth//First Class//215,1,0,Egg Free
2024-04-04//PA008//Perth-New York//Business Class//837.60000000000002,1,2,Vegetarian
2024-11-19//PA005//London-Tokyo//Business Class//432,1,0,Dairy Free
2024-09-21//PA011//Perth-Tokyo//Economy//3285,0,2,Nut Free
2024-06-21//PA007//New York-Perth//Economy//3075,0,1,Nut Free
2024-04-19//PA004//Perth-London//Economy//1795,0,2,Vegetarian
2024-07-29//PA004//Perth-London//Economy//2700,1,3,None
2024-03-08//PA003//London-Perth//Business Class//753.60000000000002,0,3,Vegetarian
2024-03-24//PA007//New York-Perth//Business Class//328.80000000000001,0,1,None
2024-06-30//PA003//London-Perth//Business Class//763.19999999999993,0,3,Dairy Free
2024-01-18//PA009//New York-Tokyo//First Class//301,1,0,Vegetarian
2024-01-09//PA001//London-New York//Economy//2680,0,0,Dairy Free
2024-11-12//PA008//Perth-New York//Business Class//627.60000000000002,1,3,Egg Free
2024-07-16//PA002//New York-London//First Class//679,0,3,Dairy Free
2024-02-22//PA005//London-Tokyo//Business Class//633.60000000000002,0,3,None
2024-11-11//PA008//Perth-New York//Premium Economy//590,1,1,Vegan
2024-05-30//PA008//Perth-New York//Premium Economy//547.5,1,0,Egg Free
2024-03-31//PA008//Perth-New York//Premium Economy//1415,1,2,Vegetarian
2024-12-02//PA007//New York-Perth//Business Class//603.60000000000002,0,0,Egg Free
2024-08-02//PA002//New York-London//Premium Economy//510,1,1,Dairy Free
2024-07-18//PA010//Tokyo-New York//Premium Economy//1672.5,1,0,None
2024-12-22//PA006//Tokyo-London//Business Class//536.39999999999998,0,0,None
2024-11-07//PA004//Perth-London//First Class//585,0,0,Vegan
2024-05-10//PA002//New York-London//Premium Economy//832.5,1,0,Dairy Free
2024-12-24//PA007//New York-Perth//Business Class//495.59999999999997,0,2,Dairy Free
2024-12-23//PA008//Perth-New York//Economy//2105,0,2,Vegetarian
2024-07-30//PA010//Tokyo-New York//Economy//1095,0,0,Vegetarian
2024-04-22//PA008//Perth-New York//Economy//3185,0,0,Egg Free
2024-10-13//PA003//London-Perth//Business Class//300,1,0,Nut Free
2024-07-15//PA009//New York-Tokyo//Premium Economy//1075,0,2,Egg Free
2024-12-25//PA011//Perth-Tokyo//Premium Economy//1002.5,0,0,None
2024-11-13//PA006//Tokyo-London//Business Class//385.19999999999999,1,2,Vegan
2024-05-07//PA007//New York-Perth//Business Class//520.79999999999995,1,3,Vegetarian
2024-05-11//PA011//Perth-Tokyo//First Class//417,1,0,Dairy Free
2024-03-17//PA010//Tokyo-New York//Business Class//783.60000000000002,0,3,Vegan
2024-05-14//PA006//Tokyo-London//Premium Economy//720,1,3,Egg Free
2024-10-31//PA008//Perth-New York//First Class//215,1,1,Nut Free
2024-07-15//PA004//Perth-London//First Class//344,1,3,Vegan
2024-04-12//PA001//London-New York//Economy//1930,0,2,None
2024-09-10//PA002//New York-London//Economy//2825,1,2,Nut Free
2024-07-10//PA004//Perth-London//Premium Economy//1230,1,1,Nut Free
2024-04-13//PA002//New York-London//Business Class//286.80000000000001,0,3,Nut Free
2024-07-30//PA004//Perth-London//Premium Economy//1605,0,1,Nut Free
2024-12-24//PA012//Tokyo-Perth//Business Class//364.80000000000001,0,2,Dairy Free
2024-12-22//PA010//Tokyo-New York//Premium Economy//1710,1,3,Nut Free
2024-08-31//PA008//Perth-New York//Economy//1975,1,2,Vegetarian
2024-06-07//PA008//Perth-New York//Business Class//672,1,1,Nut Free
2024-09-05//PA002//New York-London//Premium Economy//1507.5,1,3,Dairy Free
2024-11-06//PA005//London-Tokyo//Premium Economy//1380,1,1,Egg Free
2024-04-15//PA008//Perth-New York//Business Class//538.79999999999995,0,2,Vegetarian
2024-12-06//PA005//London-Tokyo//First Class//213,1,3,Vegan
2024-10-20//PA011//Perth-Tokyo//Premium Economy//725,0,1,Dairy Free
2024-08-29//PA001//London-New York//First Class//556,0,1,Egg Free
2024-03-22//PA008//Perth-New York//Business Class//348,0,2,Vegetarian
2024-01-21//PA011//Perth-Tokyo//First Class//204,0,0,Egg Free
2024-10-02//PA001//London-New York//Premium Economy//1687.5,1,0,Vegetarian
2024-06-14//PA006//Tokyo-London//First Class//471,0,2,Vegetarian
2024-03-07//PA006//Tokyo-London//Premium Economy//735,1,0,Nut Free
2024-04-02//PA009//New York-Tokyo//Economy//2430,0,3,Vegan
2024-03-24//PA010//Tokyo-New York//Premium Economy//1385,1,1,Nut Free
2024-06-23//PA008//Perth-New York//Premium Economy//1180,1,2,Dairy Free
2024-02-04//PA003//London-Perth//First Class//355,0,1,Egg Free
2024-10-03//PA004//Perth-London//First Class//320,1,3,Dairy Free
2024-10-25//PA011//Perth-Tokyo//Premium Economy//1365,0,1,Nut Free
2024-12-25//PA005//London-Tokyo//Business Class//654,0,2,Vegan
2024-02-23//PA003//London-Perth//Business Class//270,1,1,None
2024-05-06//PA011//Perth-Tokyo//First Class//425,1,3,Nut Free
2024-10-09//PA007//New York-Perth//First Class//205,1,0,Vegan
2024-07-04//PA001//London-New York//Premium Economy//1612.5,1,2,None
2024-11-14//PA002//New York-London//Economy//3305,1,1,Dairy Free
2024-09-19//PA010//Tokyo-New York//Business Class//531.60000000000002,1,2,Nut Free
2024-06-19//PA012//Tokyo-Perth//Business Class//273.59999999999997,1,2,Egg Free
2024-06-28//PA010//Tokyo-New York//First Class//590,0,1,Vegetarian
2024-04-15//PA007//New York-Perth//Premium Economy//790,0,2,None
2024-05-28//PA003//London-Perth//Business Class//469.19999999999999,1,2,Vegan
2024-03-14//PA005//London-Tokyo//Business Class//332.39999999999998,1,3,Nut Free
2024-04-07//PA008//Perth-New York//Economy//3270,0,3,Vegan
2024-08-01//PA012//Tokyo-Perth//First Class//361,0,2,Vegan
2024-03-22//PA003//London-Perth//First Class//432,0,2,Nut Free
2024-08-25//PA006//Tokyo-London//Premium Economy//547.5,1,2,Egg Free
2024-12-17//PA002//New York-London//Economy//1180,0,1,Egg Free
2024-01-08//PA011//Perth-Tokyo//Business Class//840,1,2,Dairy Free
2024-08-11//PA011//Perth-Tokyo//First Class//481,1,3,None
2024-02-13//PA001//London-New York//Premium Economy//792.5,0,0,Dairy Free
2024-01-23//PA001//London-New York//First Class//520,1,0,Dairy Free
2024-04-08//PA010//Tokyo-New York//Business Class//511.19999999999999,1,3,Dairy Free
2024-12-08//PA001//London-New York//First Class//236,0,0,Egg Free
2024-03-21//PA004//Perth-London//First Class//332,1,3,None
2024-05-03//PA005//London-Tokyo//Premium Economy//510,1,2,None
2024-06-17//PA006//Tokyo-London//Business Class//625.19999999999993,0,1,Vegetarian
2024-08-21//PA004//Perth-London//Premium Economy//727.5,0,0,Vegetarian
2024-09-30//PA006//Tokyo-London//First Class//519,0,1,Vegetarian
2024-06-20//PA002//New York-London//First Class//420,1,0,Egg Free
2024-04-12//PA002//New York-London//Economy//2060,1,2,Egg Free
2024-05-01//PA008//Perth-New York//Premium Economy//727.5,1,3,Vegan
2024-06-14//PA010//Tokyo-New York//First Class//379,0,1,Vegetarian
2024-01-22//PA011//Perth-Tokyo//Economy//2105,1,3,Nut Free
2024-03-31//PA008//Perth-New York//Premium Economy//570,1,1,Nut Free
2024-02-18//PA012//Tokyo-Perth//Business Class//555.60000000000002,1,0,Egg Free
2024-08-09//PA001//London-New York//Premium Economy//1707.5,0,0,Vegetarian
2024-07-12//PA009//New York-Tokyo//Economy//1230,1,3,Vegan
2024-09-02//PA005//London-Tokyo//Business Class//294,0,3,None
2024-11-19//PA003//London-Perth//Business Class//520.79999999999995,0,1,Egg Free
2024-11-18//PA011//Perth-Tokyo//First Class//372,1,3,Egg Free
2024-11-10//PA006//Tokyo-London//First Class//640,1,0,None
2024-11-24//PA009//New York-Tokyo//Business Class//549.60000000000002,0,0,Vegetarian
2024-03-13//PA011//Perth-Tokyo//Economy//3465,1,3,Vegan
2024-09-03//PA003//London-Perth//Premium Economy//937.5,1,3,Vegan
2024-06-10//PA002//New York-London//First Class//246,1,3,Nut Free
2024-06-26//PA010//Tokyo-New York//Economy//2270,1,2,Dairy Free
2024-09-25//PA005//London-Tokyo//First Class//561,1,0,Vegetarian
2024-12-22//PA011//Perth-Tokyo//Premium Economy//1365,1,1,Dairy Free
2024-08-01//PA012//Tokyo-Perth//Premium Economy//1122.5,1,3,Vegetarian
2024-09-25//PA007//New York-Perth//Premium Economy//1330,0,0,None
2024-11-05//PA011//Perth-Tokyo//Economy//2210,1,2,None
2024-09-26//PA011//Perth-Tokyo//Business Class//490.79999999999995,0,1,Egg Free
2024-09-07//PA006//Tokyo-London//Economy//1280,0,1,None
2024-06-05//PA002//New York-London//Business Class//552,0,3,Vegan
2024-09-16//PA010//Tokyo-New York//Premium Economy//1480,0,0,Dairy Free
2024-12-18//PA008//Perth-New York//Economy//1075,1,1,Egg Free
2024-09-06//PA005//London-Tokyo//Premium Economy//782.5,0,2,Vegetarian
2024-04-07//PA010//Tokyo-New York//Premium Economy//795,0,0,Vegetarian
2024-04-29//PA007//New York-Perth//Business Class//298.80000000000001,0,3,Egg Free
2024-12-11//PA002//New York-London//First Class//216,1,2,None
2024-04-09//PA001//London-New York//Economy//3150,1,1,Vegan
2024-04-24//PA005//London-Tokyo//First Class//639,0,2,Egg Free
2024-01-18//PA007//New York-Perth//First Class//575,0,1,Nut Free
2024-05-30//PA008//Perth-New York//First Class//296,0,0,Vegetarian
2024-10-16//PA008//Perth-New York//Economy//1270,0,1,Vegan
2024-04-22//PA007//New York-Perth//Premium Economy//1337.5,0,3,Vegan
